acc	uar	f1
0.8455	0.7243	0.8267
0.8217	0.7367	0.7983
0.8497	0.6796	0.7826
0.7825	0.7509	0.8105
0.8401	0.6439	0.7741
0.8823	0.6885	0.7756
0.9582	0.6280	0.7712
0.8913	0.6659	0.7752
1.1117	0.6293	0.8002
0.9726	0.6208	0.7880
0.9060	0.6703	0.7886
0.9049	0.6716	0.7871
0.9013	0.6735	0.7891
0.9011	0.6731	0.7884
0.9016	0.6732	0.7877
0.9013	0.6721	0.7862
0.9000	0.6733	0.7867
0.9010	0.6734	0.7883
0.8999	0.6738	0.7878
0.8993	0.6733	0.7895
0.8986	0.6748	0.7891
