acc	uar	f1
1.3198	0.2282	0.6694
1.3530	-0.1389	0.6205
1.2438	0.2697	0.6264
1.2702	0.2627	0.6268
1.1721	0.2341	0.6813
1.3047	0.2368	0.6108
1.3411	0.0540	0.5501
1.3484	0.1509	0.5910
1.5138	0.0762	0.5414
1.3783	-0.1802	0.6206
1.3240	0.1230	0.6059
1.3233	0.1305	0.6033
1.3244	0.1206	0.6123
