acc	uar	f1
1.3555	0.2504	0.6129
1.3562	-0.1184	0.6698
1.2520	0.2813	0.6434
1.3016	0.1975	0.6464
1.1898	0.2376	0.7122
1.3558	0.2570	0.5693
1.3322	0.0705	0.7213
1.3335	0.1191	0.5991
1.5436	-0.0274	0.5810
1.3849	-0.1934	0.5940
1.3324	0.1109	0.6421
1.3381	0.1136	0.6357
1.3396	0.1082	0.6356
