acc	uar	f1
1.0752	0.5265	0.7061
1.0727	0.5060	0.6772
1.0493	0.5197	0.6986
1.0282	0.5527	0.7138
1.0205	0.4672	0.6928
1.1146	0.4868	0.6579
1.1280	0.4408	0.6632
1.1178	0.4481	0.6838
1.2962	0.4512	0.6715
1.1724	0.4261	0.6438
1.1090	0.4814	0.6806
1.1079	0.4832	0.6786
1.1077	0.4825	0.6807
