acc	uar	f1
0.7916	0.7396	0.8588
0.7960	0.7373	0.8074
0.8260	0.7127	0.7936
0.7727	0.7624	0.8227
0.8606	0.6418	0.7734
0.8945	0.6827	0.7430
0.9173	0.6381	0.7689
0.8884	0.6583	0.7743
1.0674	0.6458	0.7861
0.9590	0.6215	0.7526
0.8821	0.6850	0.7862
0.8782	0.6843	0.7875
0.8778	0.6841	0.7879
