acc	uar	f1
0.7843	0.7401	0.8385
0.7965	0.7405	0.8028
0.8421	0.7011	0.7840
0.7765	0.7646	0.8318
0.8584	0.6380	0.7533
0.9018	0.6762	0.7477
0.9128	0.6365	0.7591
0.8903	0.6571	0.7838
1.0725	0.6450	0.7908
0.9611	0.6215	0.7609
0.8894	0.6820	0.7849
0.8810	0.6820	0.7852
0.8806	0.6820	0.7852
