acc	uar	f1
0.7834	0.7416	0.8438
0.7981	0.7393	0.8075
0.8461	0.7003	0.7974
0.7598	0.7710	0.8318
0.8642	0.6397	0.7632
0.8830	0.6745	0.7437
0.9170	0.6312	0.7626
0.8964	0.6578	0.7653
1.0702	0.6497	0.7954
0.9561	0.6232	0.7565
0.8873	0.6831	0.7859
0.8807	0.6827	0.7862
0.8785	0.6828	0.7866
