acc	uar	f1
1.4167	0.2535	0.5418
1.3362	-0.0186	0.5836
1.2861	0.1402	0.5767
1.2887	0.2414	0.5891
1.1782	0.1328	0.6492
1.3476	0.1140	0.6602
1.3477	0.0285	0.5296
1.3500	0.1274	0.6077
1.5096	0.1183	0.6004
1.3949	-0.1344	0.4817
1.3390	0.0962	0.5988
1.3462	0.1062	0.5892
1.3451	0.1005	0.5840
